customer_id,prob,default
100000,0.5115,0
100001,0.5046,0
100002,0.50435,1
100003,0.50607,1
100004,0.50009,1
100005,0.51082,0
100006,0.51231,0
100007,0.51227,0
100008,0.51082,0
100009,0.50801,0
100010,0.50605,0
100011,0.5046,0
100012,0.50001,1
100013,0.50001,1
100014,0.5115,0
100015,0.51082,0
100016,0.50065,1
100017,0.50605,0
100018,0.51397,1
100019,0.50009,1
100020,0.50001,1
100021,0.51522,1
100022,0.50605,0
100023,0.51231,0
100024,0.50001,1
100025,0.5115,0
100026,0.51082,0
100027,0.50074,1
100028,0.5115,0
100029,0.50605,0
100030,0.50788,1
100031,0.50001,1
100032,0.50633,1
100033,0.50074,1
100034,0.5115,0
100035,0.50605,0
100036,0.5115,0
100037,0.50605,0
100038,0.51082,0
100039,0.50605,0
100040,0.50065,1
100041,0.5115,0
100042,0.50633,1
100043,0.50633,1
100044,0.50396,0
100045,0.50009,1
100046,0.50605,0
100047,0.50001,1
100048,0.5115,0
100049,0.50605,0
100050,0.5115,0
100051,0.51082,0
100052,0.5216,1
100053,0.50001,1
100054,0.50405,0
100055,0.50001,1
100056,0.5115,0
100057,0.50526,0
100058,0.51227,0
100059,0.5115,0
100060,0.50633,1
100061,0.51227,0
100062,0.51227,0
100063,0.50074,1
100064,0.5115,0
100065,0.50396,0
100066,0.51227,0
100067,0.51082,0
100068,0.50001,1
100069,0.5115,0
100070,0.5115,0
100071,0.5146,1
100072,0.51231,0
100073,0.51082,0
100074,0.50435,1
100075,0.50252,0
100076,0.51082,0
100077,0.50018,0
100078,0.50009,1
100079,0.5115,0
100080,0.5148,1
100081,0.51397,1
100082,0.51227,0
100083,0.50199,0
100084,0.50605,0
100085,0.50199,0
100086,0.50001,1
100087,0.50607,1
100088,0.50605,0
100089,0.50605,0
100090,0.50009,1
100091,0.5115,0
100092,0.51227,0
100093,0.50605,0
100094,0.50018,0
100095,0.50755,0
100096,0.50729,0
100097,0.51227,0
100098,0.50199,0
100099,0.50562,1
100100,0.50633,1
100101,0.50396,0
100102,0.5046,0
100103,0.50605,0
100104,0.50396,0
100105,0.50405,0
100106,0.5115,0
100107,0.50001,1
100108,0.50729,0
100109,0.5115,0
100110,0.5046,0
100111,0.5115,0
100112,0.50081,0
100113,0.50788,1
100114,0.50633,1
100115,0.51082,0
100116,0.5115,0
100117,0.50074,1
100118,0.50074,1
100119,0.50435,1
100120,0.51227,0
100121,0.50405,0
100122,0.51082,0
100123,0.50074,1
100124,0.5115,0
100125,0.51227,0
100126,0.5146,1
100127,0.5115,0
100128,0.5115,0
100129,0.50001,1
100130,0.51082,0
100131,0.50633,1
100132,0.5115,0
100133,0.5115,0
100134,0.50633,1
100135,0.50001,1
100136,0.5115,0
100137,0.5115,0
100138,0.50605,0
100139,0.50065,1
100140,0.51227,0
100141,0.50662,1
100142,0.50001,1
100143,0.50074,1
100144,0.50001,1
100145,0.51522,1
100146,0.50074,1
100147,0.50605,0
100148,0.50396,0
100149,0.50633,1
100150,0.50605,0
100151,0.5115,0
100152,0.50199,0
